File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
ebd2a9dc-6d77-4adf-b29b-0286f1e2d0b4	f2c86905-31e6-47d9-984c-b83c6cb696e7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A3G9	TCGA-AX-A3G9-01A	Tumor	Primary	Solid Tissue	Unknown
a8e5f8e4-804f-4c6f-8304-039be85dc5bb	042bb5d0-32af-4905-a09f-6baa2133ac78.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-B5-A0K6	TCGA-B5-A0K6-01A	Tumor	Primary	Solid Tissue	OCT
c2673d73-b29f-490c-bb6c-05aa203dc5f7	52ead51d-c3eb-4915-8c87-773c06b31779.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A0W2	TCGA-BG-A0W2-01A	Tumor	Primary	Solid Tissue	OCT
f4377af6-fc83-4679-9fdd-fc0d51f00ecc	169e2872-37bb-4091-bc4f-e23b506f6f4f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A2HD	TCGA-AX-A2HD-01A	Tumor	Primary	Solid Tissue	Unknown
67c9b543-0617-4ad5-927a-8dd9ac9cce89	026f4587-5b37-4312-a374-c46ee36829ab.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-EC-A24G	TCGA-EC-A24G-01A	Tumor	Primary	Solid Tissue	OCT
a473b400-8b5f-418d-94ca-f512f6ecac98	6e767c5a-d5a2-4052-99e2-163c0f5f106b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-EY-A1GS	TCGA-EY-A1GS-01A	Tumor	Primary	Solid Tissue	Unknown
a8be11a5-313c-4813-89a2-0d43ee6c0491	ea2f3ea8-e62f-4de4-a70d-807fba91874f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A1C7	TCGA-AX-A1C7-01A	Tumor	Primary	Solid Tissue	Unknown
db6fe56e-90c0-4b34-84c5-9f9080462037	3aee8270-bb98-4850-a484-fc7b398c3445.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-B5-A0JU	TCGA-B5-A0JU-01B	Tumor	Primary	Solid Tissue	OCT
4770b9a3-d68c-4dba-ad0b-6400209a356d	bb78dcbc-a8cf-4a78-bba4-3979e9a9e715.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-FL-A1YG	TCGA-FL-A1YG-11A	Normal	Not Applicable	Solid Tissue	Unknown
0a8e9ed2-46f3-4927-a7e6-f27b89ddce02	392b1414-ea30-4f14-9797-8e7798dc1341.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A063	TCGA-AX-A063-01A	Tumor	Primary	Unknown	Unknown
cb873a96-9fd9-4789-a3c8-3bae42b1f11c	4058da17-e1bc-421d-aed0-e274a1de309a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-A5-A2K3	TCGA-A5-A2K3-01A	Tumor	Primary	Solid Tissue	OCT
db272671-3c5e-400a-8494-912587721bab	90b2eecc-f3ee-4ad1-b89e-74691079b20e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-E6-A2P9	TCGA-E6-A2P9-01A	Tumor	Primary	Solid Tissue	OCT
85f772d7-a456-4b25-8fc6-1f8d41fa6ddc	10d214b0-f69c-4d30-a1ea-24ee5ba64cab.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A3FX	TCGA-AX-A3FX-01A	Tumor	Primary	Solid Tissue	Unknown
7474b490-369b-42e5-8a14-d56e58737328	4a97b6ea-dabe-45f2-8824-45690886e506.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A15W	TCGA-D1-A15W-01A	Tumor	Primary	Solid Tissue	Unknown
c2473b6c-8c2e-42a0-8ba2-6920dc59963a	7bb80284-9ca7-48de-9d04-a5b0b6a15b68.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A16O	TCGA-D1-A16O-01A	Tumor	Primary	Solid Tissue	Unknown
007f9390-1d58-4665-b3be-46b3e7219194	9a856422-27a8-4ab7-b936-9532982fbcc4.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A3EW	TCGA-BG-A3EW-11A	Normal	Not Applicable	Solid Tissue	OCT
1c8b826f-508b-4da7-83ce-1c270064ae56	bd588720-e890-4210-bf17-bc0ad7cf9471.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A3EW	TCGA-BG-A3EW-01A	Tumor	Primary	Solid Tissue	OCT
a0742d05-d8ee-4938-93bb-24da4ce87138	7bb50c4c-9d31-4cbf-bf0d-c0f1194b3bdf.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A3G1	TCGA-AX-A3G1-01A	Tumor	Primary	Solid Tissue	Unknown
8d907ae2-745b-468f-930d-6edb528d5bc4	a3e5735d-a095-404b-902f-39c8589ac67e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-PG-A916	TCGA-PG-A916-01A	Tumor	Primary	Solid Tissue	OCT
b5264033-883e-4078-9f13-61a2d2b4be82	a50f8982-3770-4645-8fa0-70cde24d65f2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A17U	TCGA-D1-A17U-01A	Tumor	Primary	Solid Tissue	Unknown
18197a3b-1fd6-46e9-8a6f-d7f20f32a211	1eb99d39-5b01-47df-b83b-6c4fc1328dd5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A05Y	TCGA-AX-A05Y-01A	Tumor	Primary	Unknown	Unknown
48b3b618-8d53-49ae-9f51-7f35a21b36a9	9c11aa57-3406-40a0-828e-590854118d6e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A05Y	TCGA-AX-A05Y-11A	Normal	Not Applicable	Solid Tissue	Unknown
e374cf24-7c35-42ea-a205-afd1ebe74707	48971185-4abe-4951-8e9a-cbdec7caaeae.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-A5-A0GP	TCGA-A5-A0GP-01A	Tumor	Primary	Solid Tissue	OCT
