feature,type,frequency,selection_count,median_coef,mean_coef,std_coef,q25,q75,abs_median_coef,importance_score,perm_importance_mean,perm_importance_std
treatment_Chemotherapy,Clinical,1.0,15,0.166434467094033,0.21285686386395472,0.12513617697102047,0.12121362518672202,0.27466587035741186,0.166434467094033,0.166434467094033,0.11418067226890756,0.0413578847504183
figo_stage_encoded,Clinical,1.0,15,0.1547991635249547,0.19699343277821232,0.11719865011527919,0.10121524235907792,0.2554003720408615,0.1547991635249547,0.1547991635249547,0.042752100840336094,0.031231413510882253
gene_CACNG5,Gene,0.5333333333333333,8,-0.23055049077905237,-0.2222489525655279,0.08553932512444604,-0.2814211304846513,-0.1865940259065797,0.23055049077905237,0.12296026174882793,0.0,0.0
treatment_Surgery_Open,Clinical,0.7333333333333333,11,-0.16597077390569243,-0.18566423726424305,0.12459737019779354,-0.29572847788357093,-0.08910976201009291,0.16597077390569243,0.12171190086417444,0.004411764705882315,0.010385888314544765
gene_OSMR,Gene,0.5333333333333333,8,0.21880866515655398,0.1866108690873667,0.14385987520008228,0.03585451471922723,0.26574647845717125,0.21880866515655398,0.11669795475016212,-0.008088235294117684,0.0037004023012202607
gene_PTEN,Gene,0.4,6,-0.28864790167680054,-0.28992460385175706,0.13424643850168066,-0.3588966215504361,-0.1756477104129787,0.28864790167680054,0.11545916067072022,0.0,0.0
gene_BAMBI,Gene,0.6666666666666666,10,-0.15418248381187033,-0.15955301441942263,0.10185990202566524,-0.2568834756160212,-0.0947517955898766,0.15418248381187033,0.10278832254124688,0.0032563025210083584,0.006943110449437299
gene_PIK3C2B,Gene,0.6,9,0.14688465673137124,0.17703781886590778,0.12900580289104482,0.11135989698274758,0.16368350848727867,0.14688465673137124,0.08813079403882275,-0.00252100840336138,0.0018314701443448169
gene_CXXC4,Gene,0.3333333333333333,5,0.25343466559429484,0.2554678745534618,0.09391551655174314,0.1870301591776223,0.32079523839817936,0.25343466559429484,0.08447822186476495,0.0,0.0
gene_FOSL1,Gene,0.3333333333333333,5,0.24994647104737386,0.22828342081169595,0.1700085432776319,0.07094602624022618,0.27187695359996744,0.24994647104737386,0.08331549034912461,0.0,0.0
gene_GHR,Gene,0.5333333333333333,8,0.15517047513772556,0.16517591424576755,0.12441262949454077,0.046608768172259216,0.2522637292993979,0.15517047513772556,0.08275758674012029,-0.0027310924369748357,0.0021113184077984825
gene_CACNG7,Gene,0.4666666666666667,7,-0.17460824764028296,-0.1796916170802682,0.08141856612949126,-0.2415919198169666,-0.11326276852945533,0.17460824764028296,0.08148384889879871,0.0,0.0
gene_FGF16,Gene,0.4,6,0.2035268412427018,0.2023572502335752,0.07792573552516241,0.1456643499682879,0.2730012168404704,0.2035268412427018,0.08141073649708072,0.0,0.0
gene_MDM2,Gene,0.5333333333333333,8,-0.1485231832432584,-0.14880473349115067,0.08901486495080194,-0.22096862742656864,-0.08145671595832871,0.1485231832432584,0.07921236439640447,-0.0010504201680672232,0.0018193811003874953
gene_CD19,Gene,0.4666666666666667,7,-0.16957441715883675,-0.13445390091152207,0.06821859348669775,-0.19096383935063566,-0.09238763301165644,0.16957441715883675,0.07913472800745715,0.0,0.0
race_white,Clinical,0.3333333333333333,5,0.23668310579718174,0.25628392492327456,0.11282588436079255,0.22625323416568519,0.3143521188670814,0.23668310579718174,0.07889436859906057,0.0,0.0
primary_diagnosis_Carcinoma,Clinical,0.4,6,0.19707551781354588,0.17902411845218735,0.08882399829648005,0.11044415458836233,0.2248516678060156,0.19707551781354588,0.07883020712541836,0.0,0.0
gene_PIK3C2G,Gene,0.2,3,-0.3917869562073688,-0.3152093032388299,0.14402021210295585,-0.41607676944131833,-0.2526306635206109,0.3917869562073688,0.07835739124147377,0.0,0.0
gene_NFATC1,Gene,0.4666666666666667,7,-0.1665888321318564,-0.19613756263672363,0.09232112505231145,-0.24284476933295282,-0.13914056439650083,0.1665888321318564,0.07774145499486633,0.0,0.0
gene_SSBP1,Gene,0.4,6,0.19010210954193635,0.16161164644556864,0.08162043169496418,0.0909215889762572,0.22997015213587335,0.19010210954193635,0.07604084381677455,-0.0015756302521008347,0.0008468758138969034
