feature,gene_name,selection_count,frequency,median_coef,mean_coef,importance_score,pathway,perm_importance_mean,perm_importance_std
gene_CCND2,CCND2,14,0.9333333333333333,-0.6166420808089481,-0.6101850725707874,0.5755326087550182,WNT_hsa04310,0.00021008403361344463,0.0004201680672268893
gene_MDM2,MDM2,15,1.0,-0.5585623205529383,-0.6041583086318878,0.5585623205529383,PI3K_Akt_hsa04151,0.0,0.0
gene_IFNA17,IFNA17,14,0.9333333333333333,0.5952882219734441,0.5625316103077329,0.5556023405085478,PI3K_Akt_hsa04151,0.0,0.0
gene_CACNG5,CACNG5,13,0.8666666666666667,-0.6192722041439298,-0.6092213955685755,0.5367025769247392,MAPK_hsa04010,0.0,0.0
gene_PIK3C2B,PIK3C2B,15,1.0,0.5247009893843878,0.5287404742092587,0.5247009893843878,IGF1_signaling,0.0,0.0
gene_FGF16,FGF16,11,0.7333333333333333,0.6802517226344424,0.6825465793391673,0.49885126326525775,PI3K_Akt_hsa04151,0.0,0.0
gene_HSPA1B,HSPA1B,15,1.0,0.4834840263953055,0.5033982407053486,0.4834840263953055,MAPK_hsa04010,0.0,0.0
gene_MAPK8IP3,MAPK8IP3,9,0.6,0.7690159525855609,0.7600756793285536,0.4614095715513365,MAPK_hsa04010,0.0,0.0
gene_DUSP6,DUSP6,14,0.9333333333333333,-0.4794988261250731,-0.4595355629327544,0.4475322377167349,MAPK_hsa04010,0.001995798319327724,0.0009909644046277911
gene_CCNE1,CCNE1,15,1.0,-0.433601587798787,-0.4389571965356581,0.433601587798787,PI3K_Akt_hsa04151,0.0,0.0
gene_OSMR,OSMR,15,1.0,0.4318080020837011,0.4890417952461029,0.4318080020837011,PI3K_Akt_hsa04151,0.0,0.0
gene_IGF1R,IGF1R,12,0.8,-0.5287968824259237,-0.4962580424323925,0.42303750594073897,PI3K_Akt_hsa04151,0.003256302521008403,0.0037123103040067836
gene_LPIN1,LPIN1,14,0.9333333333333333,0.4307311944969856,0.45433808292845085,0.4020157815305199,mTOR_hsa04150,0.004936974789915949,0.005294992924843969
gene_SSBP1,SSBP1,14,0.9333333333333333,0.4281119706917222,0.41747574778478513,0.3995711726456074,MMR_hsa03430,0.0,0.0
gene_BAMBI,BAMBI,15,1.0,-0.3757214957521282,-0.37143079192939266,0.3757214957521282,WNT_hsa04310,0.0,0.0
gene_NFATC1,NFATC1,12,0.8,-0.466235134502796,-0.47215423069044093,0.37298810760223683,WNT_hsa04310,0.0,0.0
gene_SERPINB5,SERPINB5,12,0.8,0.46365286009426654,0.46149452019807446,0.3709222880754133,p53_hsa04115,0.0,0.0
gene_IGFBP5,IGFBP5,13,0.8666666666666667,0.42458747537847996,0.38225598876929523,0.36797581199468266,IGF1_signaling,0.0,0.0
gene_FOSL1,FOSL1,10,0.6666666666666666,0.5366530660886942,0.6165459502443893,0.35776871072579614,WNT_hsa04310,0.0,0.0
gene_CXXC4,CXXC4,10,0.6666666666666666,0.509285974685864,0.48015604619068186,0.3395239831239093,WNT_hsa04310,0.0,0.0
gene_ATF2,ATF2,13,0.8666666666666667,0.38986304508048863,0.4222007523960025,0.3378813057364235,PI3K_Akt_hsa04151,-0.007352941176470618,0.0051886928719447455
gene_BID,BID,12,0.8,0.40585086824421107,0.41068845691824646,0.32468069459536886,p53_hsa04115,0.0,0.0
gene_FGFR4,FGFR4,15,1.0,0.3217320743668657,0.3161192011373329,0.3217320743668657,PI3K_Akt_hsa04151,0.0,0.0
gene_PPP2R2C,PPP2R2C,8,0.5333333333333333,-0.60269779222545,-0.5575517566874573,0.32143882252024,PI3K_Akt_hsa04151,0.0,0.0
gene_DVL1,DVL1,12,0.8,0.3832650957002711,0.4348474103941082,0.30661207656021694,WNT_hsa04310,0.0,0.0
gene_RASD1,RASD1,14,0.9333333333333333,-0.3251379424669636,-0.4067995898295328,0.3034620796358327,IGF1_signaling,0.0,0.0
gene_POLD4,POLD4,13,0.8666666666666667,0.3406150877807626,0.4124552053276012,0.2951997427433276,MMR_hsa03430,0.0,0.0
gene_PRR5L,PRR5L,13,0.8666666666666667,-0.34031368192801315,-0.31265921129343244,0.2949385243376114,mTOR_hsa04150,-0.0030462184873949693,0.0038580604353375832
gene_PLA2G4E,PLA2G4E,10,0.6666666666666666,-0.43299310443939565,-0.44557623329693846,0.28866206962626373,MAPK_hsa04010,0.0,0.0
gene_YWHAB,YWHAB,14,0.9333333333333333,0.30284933044079676,0.2873833597483406,0.282659375078077,PI3K_Akt_hsa04151,0.0,0.0
gene_SLC3A2,SLC3A2,15,1.0,0.27415632275427704,0.27808163040283124,0.27415632275427704,mTOR_hsa04150,0.0,0.0
gene_CTBP1,CTBP1,13,0.8666666666666667,-0.31072288020004,-0.36081211058483575,0.2692931628400347,WNT_hsa04310,0.0,0.0
gene_GHR,GHR,13,0.8666666666666667,0.3085118317133778,0.3350642865863778,0.26737692081826075,PI3K_Akt_hsa04151,-0.0021008403361344463,0.0013286880925077176
gene_GH2,GH2,13,0.8666666666666667,0.30700139448041874,0.31215787570154824,0.26606787521636294,PI3K_Akt_hsa04151,0.0,0.0
gene_NF1,NF1,10,0.6666666666666666,0.398192089999595,0.41962026620709675,0.2654613933330633,MAPK_hsa04010,0.0,0.0
gene_DDB2,DDB2,13,0.8666666666666667,-0.3041911104115691,-0.3184120014446481,0.26363229569002655,p53_hsa04115,0.0,0.0
gene_RSPO4,RSPO4,12,0.8,0.3254106311103687,0.3177089973124465,0.260328504888295,WNT_hsa04310,0.0019957983193277127,0.0051982533746464795
gene_WNT10A,WNT10A,12,0.8,0.3251158888562647,0.3335949194872529,0.26009271108501175,WNT_hsa04310,0.0,0.0
gene_ITGB5,ITGB5,12,0.8,0.3239777872492455,0.3298016747153113,0.25918222979939637,PI3K_Akt_hsa04151,0.0,0.0
gene_WNT3,WNT3,11,0.7333333333333333,-0.34890952243998147,-0.3216208800309376,0.25586698312265305,WNT_hsa04310,0.0,0.0
gene_MYC,MYC,13,0.8666666666666667,-0.2916922915567075,-0.32357533346800693,0.25279998601581316,WNT_hsa04310,0.0,0.0
gene_PRKAR1B,PRKAR1B,8,0.5333333333333333,0.47074043188286696,0.42263303664952556,0.25106156367086235,IGF1_signaling,0.0,0.0
gene_CACNA2D1,CACNA2D1,13,0.8666666666666667,0.28885813245640746,0.24680869487357332,0.2503437147955531,MAPK_hsa04010,0.0,0.0
gene_TBL1Y,TBL1Y,13,0.8666666666666667,0.27687813971994873,0.2693575676343852,0.23996105442395557,WNT_hsa04310,0.0,0.0
gene_FGF20,FGF20,10,0.6666666666666666,0.34770157139188324,0.3031209167558791,0.2318010475945888,PI3K_Akt_hsa04151,0.0,0.0
gene_CASTOR1,CASTOR1,7,0.4666666666666667,-0.49197866838339976,-0.4457834304785974,0.22959004524558657,mTOR_hsa04150,0.0,0.0
gene_RASGRP3,RASGRP3,13,0.8666666666666667,0.26414632153080125,0.30542653014291515,0.2289268119933611,MAPK_hsa04010,0.0,0.0
gene_PIK3R2,PIK3R2,10,0.6666666666666666,0.3427513707659121,0.3487286721407942,0.2285009138439414,PI3K_Akt_hsa04151,0.0,0.0
gene_NPRL2,NPRL2,4,0.26666666666666666,0.8393321022344824,0.6795995951050176,0.2238218939291953,mTOR_hsa04150,0.0,0.0
gene_PTEN,PTEN,4,0.26666666666666666,-0.8219812391168242,-0.7607250689847789,0.21919499709781978,PI3K_Akt_hsa04151,0.0,0.0
