feature,gene_name,selection_count,frequency,median_coef,mean_coef,importance_score,pathway,perm_importance_mean,perm_importance_std
gene_PRICKLE2,PRICKLE2,1,0.06666666666666667,-0.12746637747499084,-0.12746637747499084,0.008497758498332723,WNT_hsa04310,0.037079831932773075,0.013534124785865177
gene_PLCB4,PLCB4,0,0.0,0.0,0.0,0.0,WNT_hsa04310,0.027100840336134423,0.010481066960728078
gene_IFNA6,IFNA6,0,0.0,0.0,0.0,0.0,PI3K_Akt_hsa04151,0.026050420168067225,0.014231545844067198
gene_PTPN7,PTPN7,1,0.06666666666666667,0.12079225039613299,0.12079225039613299,0.008052816693075532,MAPK_hsa04010,0.021638655462184842,0.01147989587589433
gene_SESN3,SESN3,3,0.2,-0.12432932107113952,-0.10797728189009383,0.024865864214227904,p53_hsa04115,0.015126050420168046,0.011783448455781609
gene_EFNA1,EFNA1,12,0.8,0.052289517706001,0.0653385016970971,0.0418316141648008,PI3K_Akt_hsa04151,0.014600840336134435,0.0086038325124896
gene_FOXO1,FOXO1,0,0.0,0.0,0.0,0.0,IGF1_signaling,0.01428571428571429,0.006037860446722656
gene_ITGA5,ITGA5,6,0.4,-0.22762166385867527,-0.1957310920445725,0.09104866554347012,PI3K_Akt_hsa04151,0.01386554621848739,0.005454098733507191
gene_COL4A2,COL4A2,3,0.2,-0.14135067236879428,-0.13175880710341709,0.028270134473758857,PI3K_Akt_hsa04151,0.013550420168067224,0.009700901810633501
gene_TCL1A,TCL1A,1,0.06666666666666667,-0.24108550278859153,-0.24108550278859153,0.016072366852572767,PI3K_Akt_hsa04151,0.013550420168067212,0.008033482691176005
gene_VANGL1,VANGL1,1,0.06666666666666667,0.22348655685586627,0.22348655685586627,0.014899103790391085,WNT_hsa04310,0.012079831932773089,0.00747571569271347
gene_DUSP9,DUSP9,7,0.4666666666666667,-0.0254472227725772,-0.01724342755066872,0.011875370627202692,MAPK_hsa04010,0.011974789915966377,0.01867976689157305
gene_RALB,RALB,4,0.26666666666666666,-0.15602422828473858,-0.1411865878219322,0.041606460875930285,IGF1_signaling,0.011029411764705843,0.007807809216028599
gene_FZD8,FZD8,1,0.06666666666666667,-0.1862565498165765,-0.1862565498165765,0.0124171033211051,WNT_hsa04310,0.010714285714285676,0.005433830737973746
gene_IL3RA.3,IL3RA.3,0,0.0,0.0,0.0,0.0,Unknown,0.010504201680672254,0.002572993427293254
gene_PPP2R2B,PPP2R2B,3,0.2,0.1688581402773242,0.1443716240662759,0.033771628055464846,PI3K_Akt_hsa04151,0.010504201680672232,0.010053349675634793
gene_PPM1D,PPM1D,0,0.0,0.0,0.0,0.0,p53_hsa04115,0.00997899159663861,0.007460941536588124
gene_GTSE1,GTSE1,1,0.06666666666666667,-0.16372267174535574,-0.16372267174535574,0.010914844783023715,p53_hsa04115,0.009348739495798286,0.003024407573295781
gene_TAB1,TAB1,1,0.06666666666666667,-0.00834938176044045,-0.00834938176044045,0.00055662545069603,MAPK_hsa04010,0.008508403361344518,0.006684007676442464
gene_LEF1,LEF1,5,0.3333333333333333,0.021738478141998828,-0.0358911652994174,0.007246159380666276,WNT_hsa04310,0.008403361344537818,0.004505800544018328
gene_SENP2,SENP2,10,0.6666666666666666,-0.09104272509200673,-0.14352636557552909,0.06069515006133781,WNT_hsa04310,0.008298319327731053,0.006617647058823525
gene_RRM2B,RRM2B,0,0.0,0.0,0.0,0.0,p53_hsa04115,0.007878151260504207,0.0032967131988393106
gene_RAP2B,RAP2B,8,0.5333333333333333,0.13538454849941656,0.20462679659203348,0.07220509253302217,IGF1_signaling,0.007878151260504196,0.008030735261994697
gene_ITGA2B,ITGA2B,0,0.0,0.0,0.0,0.0,PI3K_Akt_hsa04151,0.007878151260504184,0.006271808923751333
gene_CDC37,CDC37,1,0.06666666666666667,-0.1897629062639267,-0.1897629062639267,0.012650860417595113,PI3K_Akt_hsa04151,0.007563025210084018,0.004325895017221429
gene_CCNB2,CCNB2,4,0.26666666666666666,-0.04128962022426399,-0.05265890666617316,0.011010565393137063,p53_hsa04115,0.007352941176470585,0.001993032138761588
gene_WNT5A,WNT5A,0,0.0,0.0,0.0,0.0,WNT_hsa04310,0.006932773109243684,0.00590855508841397
gene_APCDD1L,APCDD1L,6,0.4,0.18252674819547793,0.2152543253328004,0.07301069927819118,WNT_hsa04310,0.006512605042016806,0.0063513514528701475
gene_PTPN5,PTPN5,4,0.26666666666666666,-0.030024239530621583,-0.05998669945830753,0.008006463874832422,MAPK_hsa04010,0.006512605042016795,0.003540399064359788
gene_TNXB,TNXB,0,0.0,0.0,0.0,0.0,PI3K_Akt_hsa04151,0.00630252100840335,0.025492985503175615
gene_MAPK8IP1,MAPK8IP1,6,0.4,-0.43272619721779343,-0.4719243015168088,0.17309047888711737,MAPK_hsa04010,0.006092436974789906,0.004500900270090035
gene_BBC3,BBC3,2,0.13333333333333333,-0.05980046457759933,-0.05980046457759933,0.007973395277013243,p53_hsa04115,0.005882352941176461,0.0025815558250934126
gene_NGFR,NGFR,0,0.0,0.0,0.0,0.0,PI3K_Akt_hsa04151,0.005882352941176461,0.0018314701443448167
gene_PDGFA,PDGFA,0,0.0,0.0,0.0,0.0,PI3K_Akt_hsa04151,0.005567226890756294,0.00971908320516841
gene_WNT9B,WNT9B,4,0.26666666666666666,0.009286590460449485,0.014333950404536146,0.0024764241227865293,WNT_hsa04310,0.005252100840336138,0.0037873437767478903
gene_TNFRSF1A,TNFRSF1A,8,0.5333333333333333,0.28210614967817155,0.23832228843942682,0.15045661316169148,mTOR_hsa04150,0.005252100840336127,0.010546134788244612
gene_RPS6KA1,RPS6KA1,2,0.13333333333333333,0.34051363167572213,0.34051363167572213,0.04540181755676295,mTOR_hsa04150,0.005252100840336116,0.006742355687345065
gene_LPIN1,LPIN1,14,0.9333333333333333,0.4307311944969856,0.45433808292845085,0.4020157815305199,mTOR_hsa04150,0.004936974789915949,0.005294992924843969
gene_TNR,TNR,11,0.7333333333333333,0.21861796640315823,0.17302820282145068,0.1603198420289827,PI3K_Akt_hsa04151,0.004831932773109215,0.007033894555791252
gene_SOS1,SOS1,4,0.26666666666666666,-0.022373416625464965,-0.062614746623099,0.005966244433457324,PI3K_Akt_hsa04151,0.004621848739495771,0.006729250999179376
gene_BTRC,BTRC,1,0.06666666666666667,-0.36711188854137805,-0.36711188854137805,0.024474125902758537,WNT_hsa04310,0.004516806722689071,0.005016787368176281
gene_TAOK1,TAOK1,0,0.0,0.0,0.0,0.0,MAPK_hsa04010,0.004411764705882337,0.005372568005270747
gene_CSNK2A3,CSNK2A3,6,0.4,-0.019312289835458754,-0.02176097785594207,0.007724915934183502,WNT_hsa04310,0.00409663865546217,0.002225800430716073
gene_GRB10,GRB10,9,0.6,0.035414111926174274,0.03628502444791812,0.021248467155704564,mTOR_hsa04150,0.003991596638655448,0.002090309741820623
gene_RUVBL1,RUVBL1,5,0.3333333333333333,0.015500936522306686,0.05230031386800664,0.005166978840768895,WNT_hsa04310,0.003676470588235281,0.005983708138078178
gene_TBL1XR1,TBL1XR1,2,0.13333333333333333,0.03641447132446966,0.03641447132446966,0.004855262843262622,WNT_hsa04310,0.0036764705882352698,0.0043118436453306415
gene_PDGFC,PDGFC,2,0.13333333333333333,-0.09252441878316958,-0.09252441878316958,0.012336589171089277,PI3K_Akt_hsa04151,0.003361344537815103,0.008093008522797564
gene_IGF1R,IGF1R,12,0.8,-0.5287968824259237,-0.4962580424323925,0.42303750594073897,PI3K_Akt_hsa04151,0.003256302521008403,0.0037123103040067836
gene_FZD5,FZD5,2,0.13333333333333333,-0.19357598116667757,-0.19357598116667757,0.025810130822223675,WNT_hsa04310,0.0031512605042016808,0.002100840336134457
gene_SHC1,SHC1,2,0.13333333333333333,-0.08164290287717871,-0.08164290287717871,0.010885720383623827,IGF1_signaling,0.0031512605042016808,0.005231050251255764
